data_id,subject,body,label,original_id,variant_type,generation_success,data_source
CEAS08_SYN2_RE_02615_525,Exclusive Offer on Health Supplements Just for You!,"EnhanceYourWellbeingWithUs  
Discover our premium selection of health supplements, including popular products like Sildenafil and Tadalafil.  
Click here to access your special discount: http://example.com/specialoffer12345  
Don't miss out on this limited-time opportunity to support your health!",1,CEAS08_REAL_M_02615,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_03708_742,Breaking Update: Your Personalized Notification,"Breaking Update: Your Personalized Notification

Notification Title: Your Personalized Notification
Increase in Registered Offenders

Date: Mon, 12 Sep 2023 09:15:47 -0400

READ FULL ARTICLE

You have opted in to receive this notification from NewsHub.com based on your preferences.
To adjust your settings, click here.
To change your notification criteria or frequency or to opt-out from receiving personalized notifications, click here.

News Hub Inc. 123 Media Plaza, New York, NY 10001  
© 2023 News Hub Inc.  
All Rights Reserved.  
Review our privacy policy and terms of service.",1,CEAS08_REAL_M_03708,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_03710_744,Important: Your Prescription Needs Attention,"We've identified that your recent prescription order requires your immediate review. Please access your account to finalize the checkout process: [Link to fake site].  
Thank you!",1,CEAS08_REAL_M_03710,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_03343_667,Unlock Your Potential for a Brighter Tomorrow,"Take action now and reinvent yourself today!  
http://transformationhub.com/  

In a world filled with uncertainty, understanding global dynamics is crucial. Don't miss this opportunity to become part of a movement that is reshaping lives. Write to us to get started!",1,CEAS08_REAL_M_03343,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_02044_409,Transform Your Body with Natural Solutions!,"Hello there,

Are you ready to shed those extra pounds without the constant hunger pangs? Discover the power of Pure Hoodia, a remarkable and natural approach to achieving your weight loss goals. 

This incredible supplement has been featured on major networks like NBC, ABC, and The Today Show, hailed as the groundbreaking solution for the modern age!

Don’t miss out – click here for more information: http://www.naturalweightlossnow.com

Best regards.",1,CEAS08_REAL_M_02044,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_03438_683,Exclusive Offer on Premium Imitation Timepieces!,"Discover our stunning selection of imitation watches available in exquisite 14k and 18k gold designs.  

Don’t miss our Seasonal Mega Sale...AMAZING deals on luxury replica watches...Enjoy a 15% discount!  

Shop now: http://faketimexhub.com/",1,CEAS08_REAL_M_03438,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_03192_629,Reclaim Your Confidence Today!,"Hello there,

As we step into the vibrant summer season, it’s the perfect opportunity to reflect on your health and well-being.

We are excited to offer you an exclusive chance to enhance your personal life.

Take advantage of our special offer, available until October 30th.

Visit our website to discover more information.

yourhealthmatters.com

Date: August 6, 2008 12:08:48",1,CEAS08_REAL_M_03192,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_02592_518,Breaking News: Important Update Inside,"Breaking News: Important Update Inside

Alert Title: Urgent Update on Recent Events

Disturbing details have emerged regarding the situation of minors in the United States.

Mon, 12 Sep 2023 14:45:10 +0500

READ THE FULL REPORT

You are receiving this notification because you opted in for updates from our news service. 
To adjust your preferences, click here.
To modify your alert settings or to unsubscribe, click here.

News Network. 123 News Plaza, Cityville, State 12345
© 2023 News Network.
All Rights Reserved.
Review our privacy policy and user agreement.",1,CEAS08_REAL_M_02592,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_04292_863,Urgent Account Verification Needed,"Dear User,

We have detected unusual activity on your account that requires immediate attention. To ensure the security of your information, please verify your identity by clicking the link below:

[Click here to verify your account]

Failure to respond within 24 hours will result in a temporary suspension of your account. 

Thank you for your prompt attention to this matter.

Best regards,  
Account Security Team",1,CEAS08_REAL_M_04292,rewrite,True,batch2_rewrite
CEAS08_SYN2_RE_00870_138,Discover Unbeatable Offers at MaplePharm Online!,"Dear Valued Customer,

Are you tired of high prescription costs? Look no further! 

Join the thousands who have trusted MaplePharm for their medication needs. With over 2 million prescriptions successfully processed, we guarantee the best prices available. 

Don't miss out on this opportunity—order online today and experience the savings for yourself!

Visit us now: http://bestpharmacyoffers.com

Best regards,  
MaplePharm Team",1,CEAS08_REAL_M_00870,rewrite,True,batch2_rewrite
