prompt,strategy,synthetic_ratio,svm_mean_std,svm_ci_95,random_forest_mean_std,random_forest_ci_95
weak,cross_group,0,0.459 ± 0.028,"[0.454, 0.465]",0.982 ± 0.008,"[0.980, 0.983]"
weak,cross_group,10,0.456 ± 0.030,"[0.451, 0.462]",0.981 ± 0.009,"[0.979, 0.983]"
weak,cross_group,20,0.447 ± 0.030,"[0.441, 0.453]",0.982 ± 0.007,"[0.980, 0.983]"
weak,cross_group,30,0.434 ± 0.027,"[0.429, 0.439]",0.981 ± 0.008,"[0.979, 0.982]"
weak,cross_group,40,0.421 ± 0.028,"[0.416, 0.427]",0.980 ± 0.008,"[0.979, 0.982]"
weak,cross_group,50,0.404 ± 0.030,"[0.399, 0.410]",0.978 ± 0.009,"[0.976, 0.979]"
weak,cross_group,60,0.384 ± 0.035,"[0.377, 0.390]",0.973 ± 0.013,"[0.971, 0.976]"
weak,cross_group,70,0.357 ± 0.037,"[0.349, 0.364]",0.969 ± 0.015,"[0.966, 0.972]"
weak,cross_group,80,0.330 ± 0.035,"[0.323, 0.337]",0.967 ± 0.013,"[0.964, 0.969]"
weak,cross_group,90,0.309 ± 0.036,"[0.302, 0.317]",0.957 ± 0.019,"[0.953, 0.961]"
weak,cross_group,100,0.263 ± 0.027,"[0.257, 0.268]",0.938 ± 0.029,"[0.932, 0.944]"
