sender,receiver,date,subject,body,label,urls,data_id
synthetic@batch4.generated,target@example.com,2025-07-24,"Unlock Your Ultimate Potential  
Body: Transform your confidence with our exclusive male enhancement solution and captivate anyone’s attention! Don’t wait any longer...","Subject: Unlock Your Ultimate Potential  
Body: Transform your confidence with our exclusive male enhancement solution and captivate anyone’s attention! Don’t wait any longer...",1,,CEAS08_SYN4_CORE_00774_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Special Offer Just for You!

Body:

Feeling the heat at home?

Discover our range of discreet solutions that can help you navigate those tough evenings. 

We provide fast and reliable delivery across the USA...","Subject: Special Offer Just for You!

Body:

Feeling the heat at home?

Discover our range of discreet solutions that can help you navigate those tough evenings. 

We provide fast and reliable delivery across the USA...",1,,CEAS08_SYN4_CORE_00018_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Elevate Your Style Today!  
Body: Discover exclusive timepieces and premium accessories from top brands! Visit us now at http://trendsetter...","Subject: Elevate Your Style Today!  
Body: Discover exclusive timepieces and premium accessories from top brands! Visit us now at http://trendsetter...",1,,CEAS08_SYN4_CORE_00127_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Get Free Watches Now!

Body: Hi there! 

You can get FREE watches and accessories! Just click this link: http://fake-link...

Hurry, supplies are limited!

Best,  
Your ""Friends""","Subject: Get Free Watches Now!

Body: Hi there! 

You can get FREE watches and accessories! Just click this link: http://fake-link...

Hurry, supplies are limited!

Best,  
Your ""Friends""",1,,CEAS08_SYN4_CORE_00127_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"URGENT: You Need This Now!

Body:

Hey there!

Is your wife upset with you? We can help!

Get your special medications today! Click here to order now: [malicious link]

Shipping to your home in USA is guaranteed!

Don't wait! 

Best,
Your Friendly Pharmacy","Subject: URGENT: You Need This Now!

Body:

Hey there!

Is your wife upset with you? We can help!

Get your special medications today! Click here to order now: [malicious link]

Shipping to your home in USA is guaranteed!

Don't wait! 

Best,
Your Friendly Pharmacy",1,,CEAS08_SYN4_CORE_00018_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Urgent Update Required from Your Service Provider

Body:

Dear Valued Customer,

We hope this message finds you well. 

It has come to our attention that there have been unusual activities associated with your account. To ensure your information remains secure, we kindly request that you verify your account details at your earliest convenience.

Please click on the link below to access your account and follow the prompts to confirm your identity:

[Secure Account Verification]

Thank you for your prompt attention to this matter. Failure to verify your account may result in temporary suspension.

Best regards,  
Customer Support Team  
Your Service Provider","Subject: Urgent Update Required from Your Service Provider

Body:

Dear Valued Customer,

We hope this message finds you well. 

It has come to our attention that there have been unusual activities associated with your account. To ensure your information remains secure, we kindly request that you verify your account details at your earliest convenience.

Please click on the link below to access your account and follow the prompts to confirm your identity:

[Secure Account Verification]

Thank you for your prompt attention to this matter. Failure to verify your account may result in temporary suspension.

Best regards,  
Customer Support Team  
Your Service Provider",1,,CEAS08_SYN4_CORE_00658_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"URGENT: Action Needed for Your Account!

Body:

Dear User,

Your account is in danger! Please visit this link immediately: **www.fakewebsite.com/urgent**

Failure to act could result in losing access to your account!

Best,
Ivy Maher

**Warning:** This email may contain suspicious links. Do not click on any links if you are unsure of the sender.","Subject: URGENT: Action Needed for Your Account!

Body:

Dear User,

Your account is in danger! Please visit this link immediately: **www.fakewebsite.com/urgent**

Failure to act could result in losing access to your account!

Best,
Ivy Maher

**Warning:** This email may contain suspicious links. Do not click on any links if you are unsure of the sender.",1,,CEAS08_SYN4_CORE_00658_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"URGENT: Claim Your Free Gift Now!

Body: Congratulations! You have been selected to receive a FREE male enhancement product! Click the link below to claim your prize and attract all the ladies!

[Click here to get your gift now!]

Don't miss out on this amazing opportunity! Act fast!","Subject: URGENT: Claim Your Free Gift Now!

Body: Congratulations! You have been selected to receive a FREE male enhancement product! Click the link below to claim your prize and attract all the ladies!

[Click here to get your gift now!]

Don't miss out on this amazing opportunity! Act fast!",1,,CEAS08_SYN4_CORE_00774_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Breaking News Update from Global News Network  
Body: **===========================================**  
**YOUR DAILY NEWS DIGEST**  
**Brought to you by Global News Network**  
**Highlights of the Day...**  
**===========================================**  

Dear Reader,  

Stay informed with the latest updates! Click here to access your personalized news summary and explore the top stories making headlines today.  

Don't miss out – your insights matter!  

Best regards,  
Global News Network Team  

**===========================================**  
**Note: This is an automated message. Please do not reply.**  
**===========================================**","Subject: Breaking News Update from Global News Network  
Body: **===========================================**  
**YOUR DAILY NEWS DIGEST**  
**Brought to you by Global News Network**  
**Highlights of the Day...**  
**===========================================**  

Dear Reader,  

Stay informed with the latest updates! Click here to access your personalized news summary and explore the top stories making headlines today.  

Don't miss out – your insights matter!  

Best regards,  
Global News Network Team  

**===========================================**  
**Note: This is an automated message. Please do not reply.**  
**===========================================**",1,,CEAS08_SYN4_CORE_00280_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Online Pharmacy Services Available Anytime

Body:

Dear Valued Customer,

We are excited to announce that our online pharmacy is now accessible at your convenience, 24 hours a day, 7 days a week!

Take advantage of our wide range of medications and enjoy reliable shipping right to your doorstep...

Best regards,  
Your Trusted Online Pharmacy","Subject: Online Pharmacy Services Available Anytime

Body:

Dear Valued Customer,

We are excited to announce that our online pharmacy is now accessible at your convenience, 24 hours a day, 7 days a week!

Take advantage of our wide range of medications and enjoy reliable shipping right to your doorstep...

Best regards,  
Your Trusted Online Pharmacy",1,,CEAS08_SYN4_CORE_00248_REWRITE
