data_id,subject,body,label,original_id,variant_type,generation_success
CEAS08_SYN1_RE_03543_03,Unlock a New Level of Relaxation Tonight!,Experience ultimate comfort without the hassle. Click here to discover more: http://abc123.relaxationhub.com,1,CEAS08_REAL_M_03543,rewrite,True
CEAS08_SYN1_RE_00501_05,Unlock Your Potential Today!,"Hello,

Discover an extensive range of top-rated health solutions available at your fingertips.

Ignite the passion in your life.

Click here to explore more!

Best regards,

Your Health Partner  
Secure Login | View Offers  
Exclusive Access to Premium Products  
Elevate Your Wellness Experience",1,CEAS08_REAL_M_00501,rewrite,True
CEAS08_SYN1_RE_00926_04,Exclusive Offer - Your Dream Package Awaits!,"Dear Health Enthusiast,

Are you ready to elevate your love life to new heights? Discover the secrets to romance in every corner of your world.

Click below to reveal more!




unveil your desires
transform your experiences
ignite your passion
embrace the adventure
connect with your soulmate",1,CEAS08_REAL_M_00926,rewrite,True
CEAS08_SYN1_RE_01962_06,Urgent: Action Required for Your Account,"-------------------
-----------------------
Hello Valued User,

We regret to inform you that there was an issue with processing your recent payment.

If we do not resolve this matter promptly, your advertising campaigns may be paused.

To ensure uninterrupted service, please log into your account and update your payment details at your earliest convenience.

We appreciate your partnership and are committed to delivering top-notch advertising solutions for your business.

Thank you for choosing Google Ads.

---------------------------------------------------------
-------------
------------------",1,CEAS08_REAL_M_01962,rewrite,True
CEAS08_SYN1_RE_00106_01,Urgent Action Required: Account Verification Needed,"Hello,  

We hope this message finds you well. We need your immediate attention regarding your account. It appears that there has been some unusual activity, and we must verify your information to ensure your safety.  

Please click on the link below to confirm your details:  
[Click Here to Verify Your Account]  

Failure to do so within 24 hours may result in temporary suspension of your account access.  

Thank you for your prompt attention to this matter.  

Best regards,  
Customer Support Team  
[YourBankName]",1,CEAS08_REAL_M_00106,rewrite,True
CEAS08_SYN1_RE_02515_07,Unlock the Secret to Winning Her Back!,"Are you looking for a reliable source to enhance your health? Look no further! Our online store offers an unparalleled selection of products designed to help you overcome any health challenge. Whether you require quick delivery right to your doorstep or expert advice, we’ve got you covered. Take action now and experience the benefits with just a click.

visit us at: healthmagicstore.com

August 5, 2008 11:47 PM

don't miss out on this opportunity!",1,CEAS08_REAL_M_02515,rewrite,True
CEAS08_SYN1_RE_01501_00,Exciting Offer Just for You!,"We have some thrilling news that you won't want to miss! Imagine taking your experiences to new heights with our exclusive product lineup. Our remedies are fully certified and completely safe for your peace of mind. Say goodbye to overpriced visits to the pharmacy!

By ordering from our online store, you can enjoy unmatched convenience and incredible savings! Our prices are truly unbeatable! Check out some of our top offers below:

- Maxalis - Only $3.50
- PowerMax - Just $3.80
- HairGrow - A mere $0.50

Don’t let this opportunity slip away! Visit us at: http://yourbestdealnow.com

Best regards,
Your Trusted Health Partner",1,CEAS08_REAL_M_01501,rewrite,True
CEAS08_SYN1_RE_03599_08,Special Offer: 30 Tablets of Potent ED Medication for Only $99.95!,"Unlock exclusive savings on our top-rated erectile dysfunction treatment! Get 30 tablets of 100mg for just $3.33 each.  
Don't miss out on this limited-time deal!  
Click here to claim your offer now: http://z1x2y3a.blu.livefilestore.com/a1bcdEfG-8JKLQRXW5mn_vfGqHGFjklmNn2XyZabC3F4q7r8LmNIOJHTYzAqWJHCLMn4eE5g2zXyWQGfYvVj504bq/index.html",1,CEAS08_REAL_M_03599,rewrite,True
CEAS08_SYN1_RE_03906_09,Unlock Your True Potential Today!,"Hello gflanagan01@gvc.ceas-challenge.cc,

Have you ever imagined a transformation that could change your life?

Visit: http://gainmore.com

With our revolutionary solution, you can achieve:

✨ An impressive increase of over 4 inches in length.  
✨ A significant enhancement in girth, up to 20%.  

Don’t miss out on this opportunity to enhance your confidence!

Check it out now: http://gainmore.com

Best regards,  
Lisa Johnson

gflanagan01@gvc.ceas-challenge.cc wrote:  
> Do you want enlarge yours penis?  
so03ci3fk1-  
out me now  
http://gainmore.com/w.php",1,CEAS08_REAL_M_03906,rewrite,True
CEAS08_SYN1_RE_02377_12,Unlock Your Inner Confidence Today!,"Take action now and transform yourself into the ultimate partner!  
http://secretsrevealed.com/",1,CEAS08_REAL_M_02377,rewrite,True
CEAS08_SYN1_RE_02633_13,Keep Your Relationship Strong!,Ensure your girlfriend remains devoted to you with our exclusive tips! Visit us at http://www.fiftyscore.com/ to discover the secret to lasting love.,1,CEAS08_REAL_M_02633,rewrite,True
CEAS08_SYN1_RE_02464_02,Transform Your Confidence and Impress Like Never Before!,"Are you tired of ineffective solutions that promise results but leave you disappointed? Many options out there can actually pose health risks. Why take chances when you can choose a clinically tested and completely safe method? Introducing MaxSize, the only solution that guarantees an increase in size and lasting results!

With MaxSize, you can expect outcomes that will truly amaze you. Simply complete our quick order form, and trust our dedicated team to deliver your product promptly and discreetly. We pride ourselves on fast service and ensuring your satisfaction with every purchase.

MaxSize is a revolutionary product that has empowered countless men worldwide to embrace their confidence and feel great about themselves! Don't wait—take the first step towards a new you today!",1,CEAS08_REAL_M_02464,rewrite,True
CEAS08_SYN1_RE_03078_11,Unlock Ultimate Romance Secrets Now,"Discover the secrets to igniting passion like never before—she’ll be left breathless and craving more.  
Click here to unveil the magic: http://www.romanceunleashed.com/  

--  
Sent via the cutting-edge mail platform: http://www.innovativemail.com/",1,CEAS08_REAL_M_03078,rewrite,True
