unique_id,original_id,layer,prompt_variant,seed_index,subject,body,text,label,sender,receiver,date,urls,generation_date,original_subject,original_body
synth_outer_000_rewrite_weak,train_real_mal_outer_002630,outer,rewrite_weak,0,WARNING: Herbal product that claims to fix your problems fast!,"Hello,
Most people do not last long enough to satisfy their partners. Studies say many women are unhappy with their partner’s performance.
We have a product that promises to help you last longer and improve your performance quickly.
Just fill out the form and get your order fast.
Don’t wait! Click here now: http://hchyve.makecase.com/?enja
Be careful with such offers—they often don’t work and can be dangerous.","WARNING: Herbal product that claims to fix your problems fast! Hello,
Most people do not last long enough to satisfy their partners. Studies say many women are unhappy with their partner’s performance.
We have a product that promises to help you last longer and improve your performance quickly.
Just fill out the form and get your order fast.
Don’t wait! Click here now: http://hchyve.makecase.com/?enja
Be careful with such offers—they often don’t work and can be dangerous.",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:47,Don't blame us for not telling you about this herbal revolution pcf kffkp tvujd,"The average man reaches or xb ga ok sm in less than three minutes, but the average woman requires seven minutes of cl szw ito tj ral sti ju mula vy tion before reaching or kh ga not sm. Stu fl dies show that 93% of he kqr teros yd exu gtg al women are dissatisfied, in some way, with their par zyp tners se gob xu wk al performance, simply because their partners can not last lo ye ng eno yj ugh to satisfy them.Gu ojn aran yeq teed res ox ults with Po sj we ohi rEn rwi lar wn ge will exceed your expectations. All you have to fill the or nph der rvk ing form and rely on our ex jm cell zi ent service. We work fast to deliver your ord ior ers on time and in per qe fect condition.Forget your worries about p pqe en al is si cnm ze with Po wp we pc rEn wao lar bwk ge.Click here!!! ... http://hchyve.makecase.com/?enja"
synth_outer_001_rewrite,train_real_mal_outer_003208,outer,rewrite,1,Prove Your True Strength Today,"Discover the secret to enhancing your manhood now
http://www.growpowerhub.com/
--
Sent via Opera’s cutting-edge email platform: http://www.opera.com/mail/","Prove Your True Strength Today Discover the secret to enhancing your manhood now
http://www.growpowerhub.com/
--
Sent via Opera’s cutting-edge email platform: http://www.opera.com/mail/",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:47,Show her your real size,"Get a pecker befitting your manhood here
http://www.makepat.com/

--
Using Opera's revolutionary e-mail client: http://www.opera.com/mail/"
synth_outer_000_rewrite,train_real_mal_outer_002630,outer,rewrite,0,Discover the Secret to Extended Satisfaction — A Natural Solution Awaits,"Studies reveal that most men experience climax in under three minutes, while many women need over seven minutes of stimulation to reach fulfillment. Research indicates that nearly 93% of women feel unsatisfied with their partner’s performance due to premature endings. Introducing PureVitality Herbal Complex — a guaranteed way to enhance endurance and elevate your intimate moments beyond expectations. Simply complete our quick order form and enjoy prompt delivery with our reliable service. Don’t let premature difficulties hold you back any longer. Experience the difference with PureVitality today!
Order now: http://hchyve.makecase.com/?enja","Discover the Secret to Extended Satisfaction — A Natural Solution Awaits Studies reveal that most men experience climax in under three minutes, while many women need over seven minutes of stimulation to reach fulfillment. Research indicates that nearly 93% of women feel unsatisfied with their partner’s performance due to premature endings. Introducing PureVitality Herbal Complex — a guaranteed way to enhance endurance and elevate your intimate moments beyond expectations. Simply complete our quick order form and enjoy prompt delivery with our reliable service. Don’t let premature difficulties hold you back any longer. Experience the difference with PureVitality today!
Order now: http://hchyve.makecase.com/?enja",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:48,Don't blame us for not telling you about this herbal revolution pcf kffkp tvujd,"The average man reaches or xb ga ok sm in less than three minutes, but the average woman requires seven minutes of cl szw ito tj ral sti ju mula vy tion before reaching or kh ga not sm. Stu fl dies show that 93% of he kqr teros yd exu gtg al women are dissatisfied, in some way, with their par zyp tners se gob xu wk al performance, simply because their partners can not last lo ye ng eno yj ugh to satisfy them.Gu ojn aran yeq teed res ox ults with Po sj we ohi rEn rwi lar wn ge will exceed your expectations. All you have to fill the or nph der rvk ing form and rely on our ex jm cell zi ent service. We work fast to deliver your ord ior ers on time and in per qe fect condition.Forget your worries about p pqe en al is si cnm ze with Po wp we pc rEn wao lar bwk ge.Click here!!! ... http://hchyve.makecase.com/?enja"
synth_outer_001_rewrite_weak,train_real_mal_outer_003208,outer,rewrite_weak,1,BIG SIZE for you! Click now!,"Want a bigger pecker? Easy! Just go here:
http://www.makepat.com/
Warning: This link might be dangerous! Do NOT click if you don’t know the sender.
--
Sent from my computer","BIG SIZE for you! Click now! Want a bigger pecker? Easy! Just go here:
http://www.makepat.com/
Warning: This link might be dangerous! Do NOT click if you don’t know the sender.
--
Sent from my computer",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:48,Show her your real size,"Get a pecker befitting your manhood here
http://www.makepat.com/

--
Using Opera's revolutionary e-mail client: http://www.opera.com/mail/"
synth_outer_002_rewrite_weak,train_real_mal_outer_002300,outer,rewrite_weak,2,WARNING: NBA Video Alert - Click Now!,"Hello,
You got this message because you asked for NBA videos.
Click this link RIGHT NOW to see special NBA videos: [Fake Link]
Don’t miss out!
If you don’t want these messages, ignore this email.
This is from CNN (or maybe not).
Be careful with emails like this!
---
Cable News Network, Atlanta, GA
© 2008 CNN. All rights reserved.","WARNING: NBA Video Alert - Click Now! Hello,
You got this message because you asked for NBA videos.
Click this link RIGHT NOW to see special NBA videos: [Fake Link]
Don’t miss out!
If you don’t want these messages, ignore this email.
This is from CNN (or maybe not).
Be careful with emails like this!
---
Cable News Network, Atlanta, GA
© 2008 CNN. All rights reserved.",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:50,CNN Alerts: My Custom Alert,"CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Special all star NBA videos

Fri, 8 Aug 2008 09:38:13 +0200

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms."
synth_outer_002_rewrite,train_real_mal_outer_002300,outer,rewrite,2,Exclusive NBA Highlights Just for You,"Your Personalized NBA Update
Alert Title: Your NBA Highlight Reel
Top moments from recent NBA games
Sat, 9 Aug 2008 10:45:00 +0200
WATCH NOW
You are receiving this message because you opted in for updates at SportsNews.com.
To adjust your notification preferences, please click here.
To change your alert settings or unsubscribe from these updates, click here.
SportsNews Network
123 Sports Avenue, New York, NY 10001
© 2008 SportsNews Network
A Global Media Group Company
All Rights Reserved.
Review our privacy policy and terms of use.","Exclusive NBA Highlights Just for You Your Personalized NBA Update
Alert Title: Your NBA Highlight Reel
Top moments from recent NBA games
Sat, 9 Aug 2008 10:45:00 +0200
WATCH NOW
You are receiving this message because you opted in for updates at SportsNews.com.
To adjust your notification preferences, please click here.
To change your alert settings or unsubscribe from these updates, click here.
SportsNews Network
123 Sports Avenue, New York, NY 10001
© 2008 SportsNews Network
A Global Media Group Company
All Rights Reserved.
Review our privacy policy and terms of use.",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:51,CNN Alerts: My Custom Alert,"CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Special all star NBA videos

Fri, 8 Aug 2008 09:38:13 +0200

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms."
synth_outer_003_rewrite,train_real_mal_outer_004166,outer,rewrite,3,Exclusive High-End Watch Replicas Now Available,"Discover exquisite imitation Cartier timepieces at Replica Elegance
Authentic-feeling replicas from Patek Philippe...
Stylish replica watches of renowned brands, superior craftsmanship
http://navesbaconzek.com/","Exclusive High-End Watch Replicas Now Available Discover exquisite imitation Cartier timepieces at Replica Elegance
Authentic-feeling replicas from Patek Philippe...
Stylish replica watches of renowned brands, superior craftsmanship
http://navesbaconzek.com/",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:52,First-class replica watches at Replica Classics,"Delightsome Cartier watches at Replica Classics 

Most reliable replica from Patek Philippe ...   

Trendy replica watches Famous brands, top quality  

http://navesbaconzek.com/"
synth_outer_000_rewrite_strong,train_real_mal_outer_002630,outer,rewrite_strong,0,Enhance Your Intimate Experience with Our Clinically-Tested Herbal Formula,"Dear Valued Customer,

Recent clinical studies reveal that many men experience premature intimacy challenges, often concluding in under three minutes, while their partners typically require more time to reach satisfaction. In fact, research indicates that approximately 93% of women report dissatisfaction related to their partner’s endurance during intimate moments.

Understanding the importance of mutual fulfillment, our team has developed a premium, all-natural herbal supplement designed to support sustained performance and enhance pleasure for both partners. Our formula has been rigorously tested to ensure safety and effectiveness, delivering consistent results that exceed expectations.

To take advantage of this opportunity, please complete the confidential order form linked below. We guarantee prompt shipping and discreet packaging to protect your privacy.

Experience renewed confidence and deeper connection. Don’t let performance concerns hinder your relationship any longer.

Order now with confidence:  
[Secure Order Form] (http://hchyve.makecase.com/?enja)

Should you have any questions, our dedicated customer support team is available to assist you.

Warm regards,  
The Wellness Enhancement Team

*This product is intended for adult use only. Results may vary. Please consult your healthcare provider before starting any new supplement.*","Enhance Your Intimate Experience with Our Clinically-Tested Herbal Formula Dear Valued Customer,

Recent clinical studies reveal that many men experience premature intimacy challenges, often concluding in under three minutes, while their partners typically require more time to reach satisfaction. In fact, research indicates that approximately 93% of women report dissatisfaction related to their partner’s endurance during intimate moments.

Understanding the importance of mutual fulfillment, our team has developed a premium, all-natural herbal supplement designed to support sustained performance and enhance pleasure for both partners. Our formula has been rigorously tested to ensure safety and effectiveness, delivering consistent results that exceed expectations.

To take advantage of this opportunity, please complete the confidential order form linked below. We guarantee prompt shipping and discreet packaging to protect your privacy.

Experience renewed confidence and deeper connection. Don’t let performance concerns hinder your relationship any longer.

Order now with confidence:  
[Secure Order Form] (http://hchyve.makecase.com/?enja)

Should you have any questions, our dedicated customer support team is available to assist you.

Warm regards,  
The Wellness Enhancement Team

*This product is intended for adult use only. Results may vary. Please consult your healthcare provider before starting any new supplement.*",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:52,Don't blame us for not telling you about this herbal revolution pcf kffkp tvujd,"The average man reaches or xb ga ok sm in less than three minutes, but the average woman requires seven minutes of cl szw ito tj ral sti ju mula vy tion before reaching or kh ga not sm. Stu fl dies show that 93% of he kqr teros yd exu gtg al women are dissatisfied, in some way, with their par zyp tners se gob xu wk al performance, simply because their partners can not last lo ye ng eno yj ugh to satisfy them.Gu ojn aran yeq teed res ox ults with Po sj we ohi rEn rwi lar wn ge will exceed your expectations. All you have to fill the or nph der rvk ing form and rely on our ex jm cell zi ent service. We work fast to deliver your ord ior ers on time and in per qe fect condition.Forget your worries about p pqe en al is si cnm ze with Po wp we pc rEn wao lar bwk ge.Click here!!! ... http://hchyve.makecase.com/?enja"
synth_outer_001_rewrite_strong,train_real_mal_outer_003208,outer,rewrite_strong,1,Enhance Your Confidence with Our Exclusive Offer,"Dear Valued Customer,

We understand that confidence plays a vital role in personal well-being and relationships. That’s why we’re excited to introduce a discreet, clinically-backed solution designed to help you achieve noticeable improvements in your intimate health.

Our product is crafted with premium, natural ingredients and has helped thousands regain their vitality comfortably and safely. For a limited time, we’re offering an exclusive introductory discount to new clients.

Discover more about how you can benefit by visiting our secure site here:  
https://www.makepat.com/

Should you have any questions or require further information, our dedicated support team is ready to assist you confidentially.

Wishing you the best in health and confidence,  
The MakePat Wellness Team

—
Sent via Opera Mail – Experience the future of email communication  
http://www.opera.com/mail/","Enhance Your Confidence with Our Exclusive Offer Dear Valued Customer,

We understand that confidence plays a vital role in personal well-being and relationships. That’s why we’re excited to introduce a discreet, clinically-backed solution designed to help you achieve noticeable improvements in your intimate health.

Our product is crafted with premium, natural ingredients and has helped thousands regain their vitality comfortably and safely. For a limited time, we’re offering an exclusive introductory discount to new clients.

Discover more about how you can benefit by visiting our secure site here:  
https://www.makepat.com/

Should you have any questions or require further information, our dedicated support team is ready to assist you confidentially.

Wishing you the best in health and confidence,  
The MakePat Wellness Team

—
Sent via Opera Mail – Experience the future of email communication  
http://www.opera.com/mail/",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:53,Show her your real size,"Get a pecker befitting your manhood here
http://www.makepat.com/

--
Using Opera's revolutionary e-mail client: http://www.opera.com/mail/"
synth_outer_003_rewrite_weak,train_real_mal_outer_004166,outer,rewrite_weak,3,Buy Fake Watches Now - Cheap and Easy!,"Get fake Cartier and Patek Philippe watches here.
We sell copied watches from famous brands.
Top quality but not real!
Click this suspicious link: http://navesbaconzek.com/
Warning: This is not official and probably a scam. Don't trust it!","Buy Fake Watches Now - Cheap and Easy! Get fake Cartier and Patek Philippe watches here.
We sell copied watches from famous brands.
Top quality but not real!
Click this suspicious link: http://navesbaconzek.com/
Warning: This is not official and probably a scam. Don't trust it!",1,synthetic_outer@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:45:53,First-class replica watches at Replica Classics,"Delightsome Cartier watches at Replica Classics 

Most reliable replica from Patek Philippe ...   

Trendy replica watches Famous brands, top quality  

http://navesbaconzek.com/"
