subject,body,label,source
[UAI] Industrial informatics course,"Currently, I am putting together a new MIS master's program at my 
institution. I feel we need a course which could be called industrial 
informatics or just informatics. It would be similar to a bioinformatics 
course in that it would cover the EM algorithm, MCMC, Bayes nets, neural 
nets, etc, but the applications would be in business such as credit risk 
analysis, portfolio design, Web usage analysis, etc.

Does anyone know of a similar course elsewhere?

I'd also appreciate knowing of any journal articles whose results I could 
include in the course.

Thanks,
Rich


",0,CEAS-08
ADV: Interest rates are DOWN!! ntbri,"INTEREST RATES HAVE JUST BEEN CUT!!!
 
NOW is the perfect time to think about refinancing your home mortgage! Rates are down! Take a minute and fill out our quick online form. 
 http://210.201.52.130/homesavings/
       
Easy qualifying, prompt, courteous service, low rates! Don't wait for interest rates to go up again, lock in YOUR low rate now!
      
      
      
     
      
    
---------------------------------------
To unsubscribe, go to: http://210.201.52.130/nomoremail/
Please allow 48-72 hours for removal.",1,Assassin
Re: [R] subset,"Sorry,

of course it should read

 > subset(swiss, Agriculture > 60 & !(Examination %in% c(14,16)), select 
= c(Agriculture,Examination,Catholic))
             Agriculture Examination Catholic
Aigle               62.0          21     8.52
Avenches            60.7          19     4.43
Cossonay            69.3          22     2.82
Echallens           72.6          18    24.20
Lavaux              73.0          19     2.84
Oron                71.2          12     2.40
Paysd'enhaut        63.5           6     2.56
Conthey             85.9           3    99.71
Entremont           84.9           7    99.68
Herens              89.7           5   100.00
Martigwy            78.2          12    98.96
Monthey             64.9           7    98.22
St Maurice          75.9           9    99.06
Sierre              84.6           3    99.46
Sion                63.1          13    96.83


Martin Becker wrote:
>
> [...]

______________________________________________
R-help@stat.math.ethz.ch mailing list
https://stat.ethz.ch/mailman/listinfo/r-help
PLEASE do read the posting guide http://www.R-project.org/posting-guide.html
and provide commented, minimal, self-contained, reproducible code.

",0,TREC-07
Perfect proportions are easily attained,"The preparation we propose will help you to win a competition of male dimensions!
Obtain fuller and stronger boner without any difficulties!
http://dearcan.com/


occurred thanks to an antivirus application that findsbetween Albany and Syracuse is suspended and Lake Shorekept in very poor condition and its patients neglected.",1,CEAS-08
p & l explanation for 7 / 31,"total loss of $ 20 million on prelim will be reduced to $ 13 on the final . mike s . reduced the nw delivered basis by $ 1 / mwh when it should have been increased by $ 1 / mwh against a basis position of roughly 3 million mwh accounted for the change of $ 6 million . in addition , our nob curve ( which is a basis off of cob ) had been mismarked ( too low ) by between $ 25 / mwh to $ 50 / mwh . mike doesn ' t know how it got marked so low . we are short nob , so he wasn ' t trying to hide money . we are using a new curve file and position manager , so there ' s a chance that the application isn ' t working right , but it ' s more likely that mike screwed something up . net effect of this is roughly $ 5 million hit ( offsetting illgotten gains of the same amount before ) . this brings us down to a one - day change of roughly $ 8 million associated with the back of the curve moving up .
with gas coming off today , the backs have moved down some . let me know if you have any questions .",0,Enron
Re: BBC(Bleadperl Breaks CPAN) Today: PerlPoint::Parser (0.451),"On 08/10/2007, Andreas J. Koenig  wrote: > Thanks, Jochen, for bringing another BBC case to my attention. > > Your collection of modules JSTENZEL/PerlPoint-Package-0.451.tar.gz > works with bleadperl up to 31081 and starts failing with 31082. > >     (http://public.activestate.com/cgi-bin/perlbrowse/p/26487) >     Change 31082 by kdy@stcosmo on 2007/04/26 10:51:36 > >         Subject: Re: The Strict trap >         From: Johan Vromans  >         Date: Wed, 25 Apr 2007 16:12:58 +0200 >         Message-ID:  > > which leads to a test failure: > >     t/l0_ifilters.........[Error 1] Could not load lang import filter module: 'caller' trapped by operation mask at /home/src/perl/repoperls/installed-perls/perl/pLm6hV6/perl-5.8.0@32034/lib/5.10.0/strict.pm line 8,  line 3. Since strict.pm now uses caller(), your Safe compartment now needs to allow caller() in addition to require(). Return-Path:  X-Original-To: jl@localhost Delivered-To: user7@gvc.ceas-challenge.cc Received: from radish.jmason.org (localhost [127.0.0.1]) 	by radish.jmason.org (Postfix) with ESMTP id 4C8133322B 	for ; Tue,  9 Oct 2007 12:01:56 +0100 (IST) X-Spam-Virus: No X-Spam-Checker-Version: SpamAssassin 3.3.0-r574664 (2007-09-11) on 	soman.fdntech.com X-Spam-Relays-External: [ ip=193.1.193.138 rdns=morrigan.tuatha.org 	helo=morrigan.tuatha.org by=soman.fdntech.com ident= envfrom= intl=0 	id=77EC326914F auth= msa=0 ] [ ip=127.0.0.1 rdns=localhost.localdomain 	helo=localhost.localdomain by=morrigan.tuatha.org ident= envfrom= intl=0 	id=C116C4CC1CC auth= msa=0 ] [ ip=87.192.36.15 rdns=mail.acracontrol.com 	helo=mail.acracontrol.com by=morrigan.tuatha.org ident= envfrom= intl=0 	id=5A43E4CC1CB auth= msa=0 ] [ ip=192.168.1.157 rdns= helo= 	by=mail.acracontrol.com ident= envfrom= intl=0 id=md50001394536.msg auth= 	msa=0 ] X-Spam-Status: No, score=-2.6 required=5.0 tests=BAYES_00,DKIM_POLICY_SIGNSOME 	shortcircuit=no autolearn=ham version=3.3.0-r574664 X-Spam-Relays-Internal:  X-Spam-Relays-Untrusted: [ ip=193.1.193.138 rdns=morrigan.tuatha.org 	helo=morrigan.tuatha.org by=soman.fdntech.com ident= envfrom= intl=0 	id=77EC326914F auth= msa=0 ] [ ip=127.0.0.1 rdns=localhost.localdomain 	helo=localhost.localdomain by=morrigan.tuatha.org ident= envfrom= intl=0 	id=C116C4CC1CC auth= msa=0 ] [ ip=87.192.36.15 rdns=mail.acracontrol.com 	helo=mail.acracontrol.com by=morrigan.tuatha.org ident= envfrom= intl=0 	id=5A43E4CC1CB auth= msa=0 ] [ ip=192.168.1.157 rdns= helo= 	by=mail.acracontrol.com ident= envfrom= intl=0 id=md50001394536.msg auth= 	msa=0 ] X-Spam-Relays-Trusted:  X-Spam-Level:  X-Spam-RBL:  X-Original-To: user7-ext3@gvc.ceas-challenge.cc Delivered-To: jl@mail.fdntech.com Received: from localhost [127.0.0.1] 	by radish.jmason.org with IMAP (fetchmail-6.3.2) 	for  (single-drop); Tue, 09 Oct 2007 12:01:56 +0100 (IST) Received: from morrigan.tuatha.org (morrigan.tuatha.org [193.1.193.138]) 	by soman.fdntech.com (Postfix) with ESMTP id 77EC326914F 	for ; Tue,  9 Oct 2007 05:51:14 -0500 (CDT) Received: from localhost.localdomain (localhost.localdomain [127.0.0.1]) 	by morrigan.tuatha.org (Postfix) with ESMTP id C116C4CC1CC; 	Tue,  9 Oct 2007 11:51:13 +0100 (IST) X-Original-To: qifw@linux.ie Delivered-To: waogk.al-swgm@localhost Received: from mail.acracontrol.com (mail.acracontrol.com [87.192.36.15]) 	by morrigan.tuatha.org (Postfix) with ESMTP id 5A43E4CC1CB 	for ; Tue,  9 Oct 2007 11:40:24 +0100 (IST) Received: from [192.168.1.157] by mail.acracontrol.com (MDaemon PRO v9.6.2) 	with ESMTP id md50001394536.msg 	for ; Tue, 09 Oct 2007 11:39:54 +0100 Message-ID: <470B5A70.2060408@eircom.net> Date: Tue, 09 Oct 2007 11:39:44 +0100 From: Frank Peelo  User-Agent: Mozilla Thunderbird 1.0.2 (Windows/20050317) X-Accept-Language: en-us, en MIME-Version: 1.0 To: qifw@linux.ie Subject: Re: [ILUG] Broadband in Dublin References: 	<200710081342.29336.gayleard@eircom.net> 	<915k9n11.1290608@digiweb.ie> In-Reply-To: <470A2B21.5000400@digiweb.ie> Content-Type: text/plain; charset=UTF-8; format=flowed Content-Transfer-Encoding: 7bit X-Authenticated-Sender: bpcws@acracontrol.com X-MDRemoteIP: 192.168.1.157 X-Return-Path: z97p@eircom.net X-Envelope-From: z97p@eircom.net X-MDaemon-Deliver-To: qifw@linux.ie X-Mailman-Approved-At: Tue, 09 Oct 2007 11:51:13 +0100 X-BeenThere: qifw@linux.ie X-Mailman-Version: 2.1.5 Precedence: list Reply-To: z97p@eircom.net List-Id: Irish Linux Users' Group  List-Unsubscribe: , 	 List-Archive:  List-Post:  List-Help:  List-Subscribe: , 	 Sender: bnwr-sactcov@linux.ie Errors-To: bnwr-sactcov@linux.ie Michael Watterson wrote: > Timothy Murphy wrote: >  >> On Mon 08 Oct 2007, dxklu@eillo.org wrote: >> >>   >> >>>                Im looking to get a landline broadband connection. >>> Is there any reason why i should /shouldnt get a particular service >>> when using linux? >>> >>> Also if anyone here is with eircom can you tell me if the monthly >>> fee includes line rental or if thats extra? It makes a big >>> difference because i dont have and dont want a phone. >>> >>> If i have to pay extra for line rental it would double the price. >>>      >> >> >> As I understand it, ADSL runs over telephone wires, >> and if you have a telephone wire you have to pay someone line rental. >> >> I have Eircom broadband, and consider it the most reliable and the  >> most expensive. >> Getting broadband can cause nervous breakdowns, >> as most broadband companies spend 99% of their funds on advertising, >> and 1% on help lines which are based in India, cost premium rates >> and are permanently engaged. >> >> If I didn't live in an NTL-free zone I would try cable. >> >> Also I see WiFi broadband devices sold cheaply (60 euro?) >> at PowerCity and elsewhere which seem to include 3 months connection. >> I don't know if one has to sign something to promise to use it for ever? >> Can one just dump it after the 3 month period if you want? >>    >  > IBB's ""broadband in a box"" AKA ""ripwave"" which is not recognised by OECD  > as broadband. It was developed as a wireless ISDN replacement. You can  > get up to 220kbps. but Dialup to 2 ch ISDN speeds are normal with  > latency from 60ms to 1800ms! > They can't easily control how many are on a Mast sector, some sectors  > are over subscribed which gives 60kbps + 1700ms performance. Available  > in ethernet or USB versions. Some areas used to use 2.4Wifi, some 5.x  > Wifi and most  areas now use licenced 3.5GHz. Only go for the 3.5Ghz  > version :-) But it's way better than a modem, especially if you are in a house with  no phone line, and you don't expect to stay there long enough to sign up  for one. I've had one for about a year now, because I keep hoping that I am going  to move to a house with a phone line that can use ADSL. It's worked for  most of the time (they had a problem with their server at one stage, and  after denying it for a few days they sent an email around to say it was  fixed, and things have been OK since) although it seems a little slower  when the weather is bad. I get to do a service network restart now and  then, when the IP address changes. But you *don't* dump it after the 3 months. You return it. In the  original packaging. The price paid (to DID Electrical, IIRC) pays for  the first couple of months use, not for the box. When you sign up to it,  the t&c says that they get to take a couple of hundred euro off you at  the end, to pay for the device, if you don't return it. At least that's  what the terms were a year ago. Frank --  Irish Linux Users' Group mailing list About this list : http://mail.linux.ie/mailman/listinfo/ilug Who we are : http://www.linux.ie/ Where we are : http://www.linux.ie/map/",0,CEAS-08
He everything barnardsville,"THE BULL REPORT
Special Situation Alert

TMXO

Trimax. are providers of Broadband over Power Line (BPL) 
communication technologies. 

OTC:TMXO - Last: 0.185

Technologies that use the power grid to deliver 128-bit encrypted
high-speed symmetrical broadband for data, voice and video transmission.

This is a sector to be in!


All material herein were prepared by us based upon information
believed to be reliable but not guaranteed to be accurate and
should not be considered to be all inclusive. This opinion contains
forward-looking statements that involve risks and uncertainties.You
could lose all your money. We are not a licensed broker, broker
dealer, market maker, investment banker, investment advisor,
analyst or underwriter. Please consult a broker before purchasing
or selling any securities viewed or mentioned herein. We are
negotiating a cash price for this advertisement in the near
future,but at this time have received nothing.  Third parties,
affiliates, officers, directors and employees may also own or may
buy the shares discussed in this opinion and intend to sell or
profit in the event those shares rise or decrease in value

_ _ _
Is there huge profit in this deal?
manager, take a look at the hottest news, contact your brocker now

",1,TREC-07
re : reporting line for sydney risk officer,"since a majority of the activity is power related , i would imagine that
justin should roll into the overall power group in london . they may have
other ideas !
the mid - year reviews were localized to sydney only , will this be different at
year end ?
srm
heidi mason @ enron _ development
11 / 16 / 2000 04 : 50 pm
to : scott mills @ ect
cc : sally . beck @ enron . com
subject : reporting line for sydney risk officer
scott
with all our reporting changing to london office and now it appears some
restructure of risk and the broadening of sally ' s role , what are we going to
do for the second report for our new risk manager , justin den hertog - he has
taken over from alan .
he reports to me locally , but functionally he would traditionally have
reported to you on behalf of sally ' s area . i assume this has now moved with
the rest of us and would therefore be either james new or mike jordan in
london ? can you please advise me via return email as we are working on our
pep stuff , reviews etc .
with thanks
heidi",0,Enron
inhabitation translucent blank,"Hello,

Life Should be Full of Luxuries, yet, only a handful of people can afford the finest products, the luxuries of the elite.
We are committed to bringing you the finest products, at prices incomparably lower. Perfectly crafted luxury timepieces, all at affordable prices. Thousands of different models to choose from!

http://www.presisra.com/

The finest of products, at the lowest of prices:

http://www.presisra.com/

The clipping from the January 14th Camera showed her blank, stonelike face rendered in newsprint dots below a headline which read: NEW HEAD MATERNITY WARD NURSE NAMED. He remembered the caption below the picture of Annie in her detainment cell, the picture taken in the caesura between the end of the trial and the return of the jury.

Sincerely,
Ora Jaramillo

",1,TREC-07
fw : cms opportunity,"fyi -
- - - - - original message - - - - -
from : jafry , rahil
sent : monday , march 26 , 2001 11 : 14 am
to : beck , sally ; hall , bob
cc : abbanat , stephen
subject : fw : cms opportunity
fyi - lets talk about this today .
- - - - - original message - - - - -
from : gregory . felton @ cgiusa . com @ enron
sent : monday , march 26 , 2001 10 : 30 am
to : jafry , rahil
subject : cms opportunity
jafry ,
here is the actual presentation requirements as per the rfp . we can deviate
from the form , but must address their stated requirements . i think we
should structure the enron portion as follows :
i . enw overview
ii . products and services
iii . engagement approach
let me know what you think . we need to pull this together today .
i ' ve also attached the material steve sent me previously .
thanks ,
greg
office : ( 713 ) 868 - 5537 xl 148
mobile : ( 281 ) 787 - 9760
email : gregory . felton @ cgiusa . com
- cms panhandle pipe line - rfpl . doc",0,Enron
