data_id,subject,body,label,original_id,variant_type,generation_success
CEAS08_SYN2_RE_00055_07,Important: Action Required for Your Account Security,"Hello,

We have important information regarding your account that requires your immediate attention. 

Attached to this email, you will find a secure message that contains crucial details about recent activities on your profile. 

Please review the document at your earliest convenience to ensure your account remains protected.

Best regards,  
[Your Company Name] Security Team",1,CEAS08_REAL_M_00055,rewrite,True
CEAS08_SYN2_RE_00047_05,Exclusive Offer on Luxury Timepieces at Elite Replicas,"Don’t miss out on the chance to own a stunning replica watch!  

Is a stunning ROLEX priced under $200 appealing to you?  

Discover the Best in Replica Watches Today!  

http://luxurywatchdeals.com/",1,CEAS08_REAL_M_00047,rewrite,True
CEAS08_SYN2_RE_00044_03,Exclusive Offer Just for You!,"Hey there,

Don't miss out on this amazing treat that everyone is raving about! 

Indulge in the latest scoop that has everyone talking: [Click here to discover the secret!](http://www.fiftyday.com/) 

Satisfy your cravings today!

Best,  
Your Favorite Dessert Company",1,CEAS08_REAL_M_00044,rewrite,True
CEAS08_SYN2_RE_00039_02,Discover Stunning Imitation Timepieces - Elevate Your Style,"Explore our exclusive online collection of high-quality imitation watches from prestigious brands.

Elegant quartz, durable and water-resistant imitation timepieces await you.

Searching for the ideal present? Treat yourself or a loved one to a luxurious imitation Rolex.

Visit us now: http://fakeswatchworld.com/",1,CEAS08_REAL_M_00039,rewrite,True
CEAS08_SYN2_RE_00058_08,Urgent Update Required for Your Account,"Dear Valued User,

We have detected unusual activity on your account that requires your immediate attention. To ensure the security of your information, we need you to verify your identity by clicking the link below.

Please confirm your credentials to avoid any interruptions: [malicious link]

Failure to act promptly may result in temporary suspension of your account. 

Thank you for your cooperation.

Best regards,  
Account Security Team",1,CEAS08_REAL_M_00058,rewrite,True
CEAS08_SYN2_RE_00052_06,Discover the Secret to Boosting Your Confidence,"Unlock the potential to become the man you've always wanted to be. Imagine the admiration you'll receive when you enhance your personal attributes and leave a lasting impression.

Research indicates that partners often desire a more impressive endowment.

Click here to learn more: http://enhanceyourself.com/",1,CEAS08_REAL_M_00052,rewrite,True
CEAS08_SYN2_RE_00074_12,Unlock Your True Potential,"Discover the secret to transformation - take the leap now, the rewards are endless!

Become the ultimate version of yourself this year and realize your aspirations for greatness!

Visit: http://expandyourself.com/",1,CEAS08_REAL_M_00074,rewrite,True
CEAS08_SYN2_RE_00096_14,Unlock Your Potential: Enhance Your Masculinity Today!,"Transform your size and confidence in just a matter of weeks – women are drawn to a well-endowed partner!  

Research indicates that a significant number of women favor men with impressive endowments.  

Visit us now: http://expandyourself.com/",1,CEAS08_REAL_M_00096,rewrite,True
CEAS08_SYN2_RE_00071_10,Health Experts Suggest Playful Interactions as Remedy,"You are invited to participate in an important survey  
Click here: http://www.surveyhub.com  

--  
Powered by Opera’s innovative email solution: http://www.opera.com/mail/",1,CEAS08_REAL_M_00071,rewrite,True
CEAS08_SYN2_RE_00081_13,Exclusive Insider Scoop!,Don't miss out on this breaking news!,1,CEAS08_REAL_M_00081,rewrite,True
