data_id,subject,body,label,original_id,variant_type,generation_success
CEAS08_SYN2_RE_00044_03,FREE Ice Cream for You!,"Hi there!

You won’t believe what women will do for this ice cream! Click here to find out: http://www.fiftyday.com/

Don’t miss out!

Best,
Your Ice Cream Friend",1,CEAS08_REAL_M_00044,rewrite_weak,True
CEAS08_SYN2_RE_00055_07,IMPORTANT: Click Here to View Your Message!,"Hello,

You have a message waiting for you! 

Click the link below to access it:
[Click Here - Not Secure]

Please do this ASAP!

Thanks,
Your Email Team",1,CEAS08_REAL_M_00055,rewrite_weak,True
CEAS08_SYN2_RE_00068_09,Important Update from CNN!,"Hello! 

You have a new message from CNN! Click below to see the latest news:  
[CLICK HERE FOR CNN NEWS](http://malicious-link.com)

Don't miss out on these important stories! It's very urgent!

Best,  
CNN Team

P.S. If you don't click the link, you might miss out on important updates!",1,CEAS08_REAL_M_00068,rewrite_weak,True
CEAS08_SYN2_RE_00039_02,Buy Fake Rolex Watches Cheap!,"Hello!

We sell cheap fake Rolex watches and other brands. 

Want a great gift? Get a fake Rolex watch today!

Click here: http://blockvatreb.com/  

Hurry, limited stock!",1,CEAS08_REAL_M_00039,rewrite_weak,True
CEAS08_SYN2_RE_00047_05,Amazing Fake Rolex Watches for Cheap!,"Hey there!  

Do you want a Rolex watch for only $199?  

Check out our best fake Rolexes!  

Click here: http://fakesite123.com/  

Hurry, these deals won't last!  

(Note: This email is a scam. Always verify the source before clicking links or making purchases.)",1,CEAS08_REAL_M_00047,rewrite_weak,True
CEAS08_SYN2_RE_00052_06,Get Bigger Now!,"Hey there!

Want to impress girls? Try this amazing pill to make your penis bigger! Everyone knows ladies love it when guys are well-endowed.

Click here to get yours: http://fake-link.com/

Don’t miss out on this chance to be the best!

Best,  
Your Friend",1,CEAS08_REAL_M_00052,rewrite_weak,True
CEAS08_SYN2_RE_00058_08,Important Account Update Needed,"Hello,  
We noticed unusual activity on your account. Please verify your identity to avoid suspension.  

Click here to confirm your details: [malicious link]  

Thank you,  
Customer Support Team  

**Warning Signs:**  
- Generic greeting (""Hello"")
- Urgent message about account issues
- Request to click a link for verification 
- Poor grammar and vague language",1,CEAS08_REAL_M_00058,rewrite_weak,True
CEAS08_SYN2_RE_00001_00,Important Update from CNN.com!,"**ALERT! You have a message from CNN.com!**

Dear User,

Your daily news update is ready! Click the link below to see the latest top stories and videos from CNN:

**[CLICK HERE FOR YOUR TOP NEWS!](http://malicious-link.com)**

1. Celebrity Gossip
2. Crime Reports
3. Health News
4. Political Updates
5. Shocking Stories

Don't miss out! You must act now!

**This is an automated message. Please do not reply.**

If you wish to unsubscribe, please click here: **[Unsubscribe Here](http://malicious-link.com/unsubscribe)**

Stay informed,
CNN Team

**WARNING:** This email may not be from CNN. Check the link before clicking!",1,CEAS08_REAL_M_00001,rewrite_weak,True
CEAS08_SYN2_RE_00074_12,Get Bigger NOW!,"Hey there!

Want to be bigger? Click this link now: http://fake-link.com!

Don’t wait! Everyone is doing it! 

Best,
Your Friend",1,CEAS08_REAL_M_00074,rewrite_weak,True
CEAS08_SYN2_RE_00071_10,Urgent Poll: Love Doctors Need Your Help!,"Hi there,  

Please click this link to participate in a very important poll:  
http://www.fakewebsite.com  

Your opinion matters!  

Best,  
The Love Doctors Team  

P.S. This is not a scam, but please do not share your personal information!",1,CEAS08_REAL_M_00071,rewrite_weak,True
CEAS08_SYN2_RE_00073_11,Important Health Offer!,"Hello there, 

You have won a special health offer! 

To claim your prize, please visit our website right away! 

Click here: answerdry.com

Hurry, this offer ends soon!

Best,  
Health Team  
(Please do not reply to this email.)  

Date: 6 Aug 2008 11:36:04",1,CEAS08_REAL_M_00073,rewrite_weak,True
CEAS08_SYN2_RE_00081_13,URGENT: Click Here for FREE Access!,Warning: This email is not from a trusted source. Do not click any links!,1,CEAS08_REAL_M_00081,rewrite_weak,True
CEAS08_SYN2_RE_00008_01,URGENT: Check Out These Videos from CNN!,"Hey there!

You have a new message from CNN! Click the links below to see the latest shocking videos and stories!

1. MOM PARTIES AT A CLUB: [CLICK HERE](http://fake-link-to-malicious-site.com)
2. WOMAN'S COMPUTER SPIES ON HER: [CLICK HERE](http://fake-link-to-malicious-site.com)
3. TIGERS ATTACK TEEN AT ZOO: [CLICK HERE](http://fake-link-to-malicious-site.com)
4. MISTRESS TESTIFIES IN TRIAL: [CLICK HERE](http://fake-link-to-malicious-site.com)
5. MAN CALLS 911 OVER SANDWICH: [CLICK HERE](http://fake-link-to-malicious-site.com)

Don't miss out! It's important to stay updated. 

Thanks,
CNN Team

*Disclaimer: This is not a real CNN email. Please do not click the links above.*",1,CEAS08_REAL_M_00008,rewrite_weak,True
CEAS08_SYN2_RE_00096_14,Important: Get Bigger Now!,"Hey there!  
Want to be bigger? Women love guys with big manhoods!  

Click here to find out how: http://fronthigh.com/ 

Don't miss this chance!  

- The Bigger Guys Team",1,CEAS08_REAL_M_00096,rewrite_weak,True
CEAS08_SYN2_RE_00046_04,URGENT: Check Out These Videos NOW!,"==========================================
IMPORTANT: You HAVE to click these links!
==========================================

Hey there!

We found some CRAZY videos and stories you MUST see. Click the links below to watch now:

1. MOM PARTIES AT A CLUB! Click here: http://www.fake-link.com/video1
2. COMPUTER SPYING ON WOMAN! Click here: http://www.fake-link.com/video2
3. TIGERS ATTACK TEEN! Click here: http://www.fake-link.com/video3
4. MISTRESS TESTIFIES IN TRIAL! Click here: http://www.fake-link.com/video4
5. MAN CALLS 911 OVER SANDWICH! Click here: http://www.fake-link.com/video5

And that’s just the beginning! 

Visit these links NOW to stay updated! Don’t wait!

Thanks,
Your Friendly News Team

*This message is from a source you may not recognize. Always be cautious about clicking links.*",1,CEAS08_REAL_M_00046,rewrite_weak,True
CEAS08_SYN2_RE_00123_16,Important Health Info - Click Now!,"Hello,

We care about your health!

Check out this important news about male health by clicking the link below:

**Click Here for Health Updates!**

Best,  
Health Team

P.S. Don’t miss out on these amazing tips!",1,CEAS08_REAL_M_00123,rewrite_weak,True
CEAS08_SYN2_RE_00132_18,URGENT: You have won a prize!,"Click here to see your reward: http://fakesite123.com/win

Don't miss out!",1,CEAS08_REAL_M_00132,rewrite_weak,True
CEAS08_SYN2_RE_00106_15,Urgent Account Update Needed!,"Hello,

We need you to confirm your account details immediately! Click the link below to verify your information:

[Click Here to Update Your Account](http://malicious-link.com)

If you do not respond, your account may be suspended.

Thank you,  
Customer Support Team

Warning: This email is asking for personal information! Do not click on links or provide your details.",1,CEAS08_REAL_M_00106,rewrite_weak,True
CEAS08_SYN2_RE_00141_20,IMPORTANT: Unlock Your Love Magic Now!,"Want to make your love life amazing? This magical formula has worked for men everywhere!

Click here to transform your relationships: http://dearbright.com/

Hurry! Don’t miss out on this chance!

(Note: This email is not from your bank or a trusted source.)",1,CEAS08_REAL_M_00141,rewrite_weak,True
CEAS08_SYN2_RE_00148_23,Special Love Potion Just for You!,"Do you want to find love? Our special potion can help you! Many people have had great success with it. 

Don’t miss out! Click here: http://wearplaces.com/

Best wishes,
Your Love Guru

P.S. This is totally legit!",1,CEAS08_REAL_M_00148,rewrite_weak,True
CEAS08_SYN2_RE_00133_19,URGENT: Buy Cheap Fake Watches Now!!!,"Hello!  

You can get cheap fake watches of all brands! Buy now and save a lot of money!  

Huge discounts on Bvlgari watches!  

Click here to get your watch: http://scamwebsite123.com/  

Hurry, limited time offer!  

Don't miss out!",1,CEAS08_REAL_M_00133,rewrite_weak,True
