unique_id,original_id,layer,prompt_variant,seed_index,subject,body,text,label,sender,receiver,date,urls,generation_date,original_subject,original_body
synth_edge_000_rewrite_weak,train_real_mal_edge_002518,edge,rewrite_weak,0,WARNING! Fake News About Usama bin Laden!,"Hello,
This is an urgent fake news alert! Usama bin Laden, the terrorist leader, has been caught by American soldiers in Iraq.
He did many bad things like attacks in Yemen, Somalia, New York, Saudi Arabia, Egypt, Kenya, Tanzania, and more. He caused many deaths and destruction.
Watch a fake video of Usama bin Laden after his capture here! [Link]
**DO NOT CLICK this link! It may harm your computer or steal your information!**
Stay safe and ignore suspicious emails!
---
Clear signs: poor grammar, urgent scare words, suspicious link, and scary claims with no proof.","WARNING! Fake News About Usama bin Laden! Hello,
This is an urgent fake news alert! Usama bin Laden, the terrorist leader, has been caught by American soldiers in Iraq.
He did many bad things like attacks in Yemen, Somalia, New York, Saudi Arabia, Egypt, Kenya, Tanzania, and more. He caused many deaths and destruction.
Watch a fake video of Usama bin Laden after his capture here! [Link]
**DO NOT CLICK this link! It may harm your computer or steal your information!**
Stay safe and ignore suspicious emails!
---
Clear signs: poor grammar, urgent scare words, suspicious link, and scary claims with no proof.",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:38,Special issue of news from  Financial Times! Urgent  Latest News Usama Ben Laden!,"Special issue of news from  CNBC!Urgent  Dangerous News!

Usama bin Laden(Osama bin Laden) one of the largest organizers of terrorist activity, and similarly the largest leaders of terrorist organization of Al Kaeda, detained American soldiery force in Iraq.

Ben Ladena consider participating to a number of diversionary acts: to encroaching upon the American citizens in Adene (Yemen) (1992), to the attack on the American servicemen in Somali (1993), to the explosion in the World shopping center in New York (1993), to murder of the American servicemen in Er-riyade and Dakhrane (Saudovskaya Arabia, 1995-1996), to shooting of tourists in Luksore (Egypt, 1997), to the explosions at the American embassies in Nayrobi (Kenya), Dar-es-salame (Tanzania) (1998), to encroaching upon the president of Uzbekistan of Islam of Karimova (1999), to injury of ship VMS of the USA in Yemen (2000), to the explosions of dwelling-houses in Moscou, Buynaksk and Volgodonsk, support of the Albanian separatists in Bosnia and Kosove and chechenskikh hits, in particular islams Khattaba, Abdully Maleka, Mukhammeda Sharifa and Salakh ÜÄ-Dinah. Ben is Well-built is an organizer of monstrous acts of terrorism in New York and Washington of September, 11 2001, taking away lives more than 5 thousand of persons after elimination by the airplanes taken the terrorists of two towers of the World shopping center.


Interview  Video of Usamy after detention his American soldiery accessible here!"
synth_edge_001_rewrite,train_real_mal_edge_002959,edge,rewrite,1,Discover Lasting Results with Our Proven Solution,"Experience noticeable improvements in size and girth by taking only two capsules daily. Our formula delivers permanent enhancements, backed by a satisfaction guarantee — or your purchase is fully refunded!
Achieve an average increase of over 3 inches where it counts most, with results that won’t fade away.
Visit now to learn more: http://foldfeel.com/","Discover Lasting Results with Our Proven Solution Experience noticeable improvements in size and girth by taking only two capsules daily. Our formula delivers permanent enhancements, backed by a satisfaction guarantee — or your purchase is fully refunded!
Achieve an average increase of over 3 inches where it counts most, with results that won’t fade away.
Visit now to learn more: http://foldfeel.com/",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:39,Relax. Take a Deep Breath We have the answers you seek.,"Just 2 pills a day, for incredible and quick gains in length and thickness. All gains are permanent, and all results are guaranteed - or your money back! 

Put on an average gain of 3.02 inches where it matters - and all gains are 100% permanent!

http://foldfeel.com/"
synth_edge_000_rewrite,train_real_mal_edge_002518,edge,rewrite,0,Exclusive Breaking Report from Global News Network! Critical Update on Osama bin Laden!,"Breaking update from Global News Network! Immediate attention required – Urgent intelligence report!
Osama bin Laden, notorious mastermind behind numerous terrorist operations and the former leader of Al-Qaeda, has reportedly captured U.S. military personnel stationed in Iraq.
Bin Laden has been linked to multiple high-profile attacks: assaults on American civilians in Aden, Yemen (1992); attacks on U.S. forces in Somalia (1993); the 1993 World Trade Center bombing in New York; targeted killings of American troops in Riyadh and Dhahran, Saudi Arabia (1995-1996); the tourist shootings in Luxor, Egypt (1997); bombings at U.S. embassies in Nairobi, Kenya, and Dar es Salaam, Tanzania (1998); assassination attempts on Uzbekistan’s President Islam Karimov (1999); attacks on U.S. naval vessels off Yemen’s coast (2000); bombings in Moscow, Buynaksk, and Volgodonsk; as well as support for separatist movements in Bosnia, Kosovo, and Chechnya. He has connections with key figures such as Islamic militants Khattab, Abdullah Malek, Muhammad Sharif, and Salakhuddin.
Bin Laden is the principal architect behind the catastrophic September 11, 2001, attacks on New York and Washington, which claimed over 5,000 lives through coordinated hijackings and crashes into the World Trade Center towers.
Watch exclusive footage of Osama bin Laden following the capture of U.S. forces here! [Link enclosed]","Exclusive Breaking Report from Global News Network! Critical Update on Osama bin Laden! Breaking update from Global News Network! Immediate attention required – Urgent intelligence report!
Osama bin Laden, notorious mastermind behind numerous terrorist operations and the former leader of Al-Qaeda, has reportedly captured U.S. military personnel stationed in Iraq.
Bin Laden has been linked to multiple high-profile attacks: assaults on American civilians in Aden, Yemen (1992); attacks on U.S. forces in Somalia (1993); the 1993 World Trade Center bombing in New York; targeted killings of American troops in Riyadh and Dhahran, Saudi Arabia (1995-1996); the tourist shootings in Luxor, Egypt (1997); bombings at U.S. embassies in Nairobi, Kenya, and Dar es Salaam, Tanzania (1998); assassination attempts on Uzbekistan’s President Islam Karimov (1999); attacks on U.S. naval vessels off Yemen’s coast (2000); bombings in Moscow, Buynaksk, and Volgodonsk; as well as support for separatist movements in Bosnia, Kosovo, and Chechnya. He has connections with key figures such as Islamic militants Khattab, Abdullah Malek, Muhammad Sharif, and Salakhuddin.
Bin Laden is the principal architect behind the catastrophic September 11, 2001, attacks on New York and Washington, which claimed over 5,000 lives through coordinated hijackings and crashes into the World Trade Center towers.
Watch exclusive footage of Osama bin Laden following the capture of U.S. forces here! [Link enclosed]",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:40,Special issue of news from  Financial Times! Urgent  Latest News Usama Ben Laden!,"Special issue of news from  CNBC!Urgent  Dangerous News!

Usama bin Laden(Osama bin Laden) one of the largest organizers of terrorist activity, and similarly the largest leaders of terrorist organization of Al Kaeda, detained American soldiery force in Iraq.

Ben Ladena consider participating to a number of diversionary acts: to encroaching upon the American citizens in Adene (Yemen) (1992), to the attack on the American servicemen in Somali (1993), to the explosion in the World shopping center in New York (1993), to murder of the American servicemen in Er-riyade and Dakhrane (Saudovskaya Arabia, 1995-1996), to shooting of tourists in Luksore (Egypt, 1997), to the explosions at the American embassies in Nayrobi (Kenya), Dar-es-salame (Tanzania) (1998), to encroaching upon the president of Uzbekistan of Islam of Karimova (1999), to injury of ship VMS of the USA in Yemen (2000), to the explosions of dwelling-houses in Moscou, Buynaksk and Volgodonsk, support of the Albanian separatists in Bosnia and Kosove and chechenskikh hits, in particular islams Khattaba, Abdully Maleka, Mukhammeda Sharifa and Salakh ÜÄ-Dinah. Ben is Well-built is an organizer of monstrous acts of terrorism in New York and Washington of September, 11 2001, taking away lives more than 5 thousand of persons after elimination by the airplanes taken the terrorists of two towers of the World shopping center.


Interview  Video of Usamy after detention his American soldiery accessible here!"
synth_edge_001_rewrite_strong,train_real_mal_edge_002959,edge,rewrite_strong,1,Discover Clinically Proven Solutions for Enhanced Confidence and Wellness,"Dear [Recipient's Name],

I hope this message finds you well. We understand that personal confidence and satisfaction are important aspects of your overall well-being. That’s why our team of medical experts has developed a scientifically backed supplement designed to support male enhancement safely and effectively.

Our proprietary formula requires just two daily capsules and has been shown in clinical trials to promote noticeable improvements in size and firmness, with results that are both significant and lasting. Many of our clients report an average increase exceeding 3 inches in length, along with enhanced thickness, contributing to greater self-assurance and quality of life.

To ensure your peace of mind, we offer a full satisfaction guarantee: if you do not experience the promised results within the recommended regimen, we will provide a complete refund—no questions asked.

For detailed information on the formulation, clinical data, and testimonials, please visit our secure website at:

https://foldfeel.com/

Should you have any questions or wish to consult with one of our wellness advisors, feel free to reply to this email.

Wishing you health and confidence,

[Your Name]  
Customer Care Specialist  
FoldFeel Wellness Solutions  

---

*This email and any attachments are confidential and intended solely for the addressee. If you have received this message in error, please notify the sender immediately and delete it from your system.*","Discover Clinically Proven Solutions for Enhanced Confidence and Wellness Dear [Recipient's Name],

I hope this message finds you well. We understand that personal confidence and satisfaction are important aspects of your overall well-being. That’s why our team of medical experts has developed a scientifically backed supplement designed to support male enhancement safely and effectively.

Our proprietary formula requires just two daily capsules and has been shown in clinical trials to promote noticeable improvements in size and firmness, with results that are both significant and lasting. Many of our clients report an average increase exceeding 3 inches in length, along with enhanced thickness, contributing to greater self-assurance and quality of life.

To ensure your peace of mind, we offer a full satisfaction guarantee: if you do not experience the promised results within the recommended regimen, we will provide a complete refund—no questions asked.

For detailed information on the formulation, clinical data, and testimonials, please visit our secure website at:

https://foldfeel.com/

Should you have any questions or wish to consult with one of our wellness advisors, feel free to reply to this email.

Wishing you health and confidence,

[Your Name]  
Customer Care Specialist  
FoldFeel Wellness Solutions  

---

*This email and any attachments are confidential and intended solely for the addressee. If you have received this message in error, please notify the sender immediately and delete it from your system.*",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:40,Relax. Take a Deep Breath We have the answers you seek.,"Just 2 pills a day, for incredible and quick gains in length and thickness. All gains are permanent, and all results are guaranteed - or your money back! 

Put on an average gain of 3.02 inches where it matters - and all gains are 100% permanent!

http://foldfeel.com/"
synth_edge_001_rewrite_weak,train_real_mal_edge_002959,edge,rewrite_weak,1,WARNING: Fake Penis Enlargement Pills – Don’t Buy!,"Hello,
This is a scam. They say taking 2 pills a day will make your penis bigger and thicker quickly. They promise permanent results or your money back, but it’s not true.
Don’t click on this fake website: http://foldfeel.com/ – it might steal your money or information.
Stay safe and ignore these kinds of offers!","WARNING: Fake Penis Enlargement Pills – Don’t Buy! Hello,
This is a scam. They say taking 2 pills a day will make your penis bigger and thicker quickly. They promise permanent results or your money back, but it’s not true.
Don’t click on this fake website: http://foldfeel.com/ – it might steal your money or information.
Stay safe and ignore these kinds of offers!",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:41,Relax. Take a Deep Breath We have the answers you seek.,"Just 2 pills a day, for incredible and quick gains in length and thickness. All gains are permanent, and all results are guaranteed - or your money back! 

Put on an average gain of 3.02 inches where it matters - and all gains are 100% permanent!

http://foldfeel.com/"
synth_edge_002_rewrite_weak,train_real_mal_edge_001576,edge,rewrite_weak,2,You will lose 10 pounds fast! Buy now!,"Hi,
Want to lose weight fast? Use Pure Hoodia pills. They are the best and very safe. Big TV shows like CNN and Oprah talked about them!
Click this link to buy now: http://badweightlosssite.cn
Hurry! Don’t miss out!
Thanks.","You will lose 10 pounds fast! Buy now! Hi,
Want to lose weight fast? Use Pure Hoodia pills. They are the best and very safe. Big TV shows like CNN and Oprah talked about them!
Click this link to buy now: http://badweightlosssite.cn
Hurry! Don’t miss out!
Thanks.",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:42,Lose 10 pounds in 2 weeks,"Hello, dear Friend.

Loss Weight Without Feeling Hungry! Pure Hoodia provides a positive, natural method to weight loss.
Hoodia has been showned on CNN, BBC, OPRAH and CBS 60 Minutes as the Miracle Weight Loss Supplement of the new century!

Here - http://www.400epillz7k.cn

Thanks."
synth_edge_002_rewrite,train_real_mal_edge_001576,edge,rewrite,2,Shed 10 Pounds Quickly and Naturally,"Hi there,
Discover a hunger-free way to drop those extra pounds! Our Pure Hoodia formula offers a safe and effective natural solution for weight loss.
Featured on major networks like CNN, BBC, Oprah, and CBS 60 Minutes, Hoodia is hailed as the breakthrough supplement of this era!
Check it out now: http://www.400epillz7k.cn
Best regards.","Shed 10 Pounds Quickly and Naturally Hi there,
Discover a hunger-free way to drop those extra pounds! Our Pure Hoodia formula offers a safe and effective natural solution for weight loss.
Featured on major networks like CNN, BBC, Oprah, and CBS 60 Minutes, Hoodia is hailed as the breakthrough supplement of this era!
Check it out now: http://www.400epillz7k.cn
Best regards.",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:43,Lose 10 pounds in 2 weeks,"Hello, dear Friend.

Loss Weight Without Feeling Hungry! Pure Hoodia provides a positive, natural method to weight loss.
Hoodia has been showned on CNN, BBC, OPRAH and CBS 60 Minutes as the Miracle Weight Loss Supplement of the new century!

Here - http://www.400epillz7k.cn

Thanks."
synth_edge_002_rewrite_strong,train_real_mal_edge_001576,edge,rewrite_strong,2,Discover a Clinically Supported Approach to Healthy Weight Management,"Dear Valued Recipient,

I hope this message finds you well. As part of our commitment to promoting wellness, we are pleased to introduce you to Pure Hoodia — a natural supplement that has garnered attention for its appetite-suppressing properties and potential to support weight management goals safely and effectively.

Pure Hoodia has been featured in reputable media outlets including CNN, BBC, and CBS’s 60 Minutes, highlighting its role in helping individuals achieve sustainable results without compromising nutritional balance or feeling deprived.

To learn more about the scientific research and customer testimonials, please visit our official website here: http://www.400epillz7k.cn

Should you have any questions or wish to discuss personalized recommendations, feel free to reach out.

Wishing you health and success,

The Pure Hoodia Wellness Team","Discover a Clinically Supported Approach to Healthy Weight Management Dear Valued Recipient,

I hope this message finds you well. As part of our commitment to promoting wellness, we are pleased to introduce you to Pure Hoodia — a natural supplement that has garnered attention for its appetite-suppressing properties and potential to support weight management goals safely and effectively.

Pure Hoodia has been featured in reputable media outlets including CNN, BBC, and CBS’s 60 Minutes, highlighting its role in helping individuals achieve sustainable results without compromising nutritional balance or feeling deprived.

To learn more about the scientific research and customer testimonials, please visit our official website here: http://www.400epillz7k.cn

Should you have any questions or wish to discuss personalized recommendations, feel free to reach out.

Wishing you health and success,

The Pure Hoodia Wellness Team",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:43,Lose 10 pounds in 2 weeks,"Hello, dear Friend.

Loss Weight Without Feeling Hungry! Pure Hoodia provides a positive, natural method to weight loss.
Hoodia has been showned on CNN, BBC, OPRAH and CBS 60 Minutes as the Miracle Weight Loss Supplement of the new century!

Here - http://www.400epillz7k.cn

Thanks."
synth_edge_003_rewrite,train_real_mal_edge_004167,edge,rewrite,3,When would be a good time to connect?,"H e l l o, I w a s w o n d e r i n g i f y o u h a d a m o m e n t t o t a l k
Access FDA-Approved Medications & Save as Much as 85%
Completely Legal Pharmacy - Fast Shipping Guaranteed!
Visit our website now to learn more and place your order.","When would be a good time to connect? H e l l o, I w a s w o n d e r i n g i f y o u h a d a m o m e n t t o t a l k
Access FDA-Approved Medications & Save as Much as 85%
Completely Legal Pharmacy - Fast Shipping Guaranteed!
Visit our website now to learn more and place your order.",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:43,What time is okay for you,"B ie u wor y From On se line P ru har nr ma haa cy

Get FDA Me agv ds & Save up to 85%
100% Legal P dj har wo macy - Or bo der Today!

vi bcn sit our s yua ite"
synth_edge_003_rewrite_weak,train_real_mal_edge_004167,edge,rewrite_weak,3,Buy Cheap Medicine Now!!!,"Hello,
Get FDA-approved medicine and save 85% today!!!
100% legal online pharmacy - No prescription needed!!!
Order now and receive your package very fast!!!
Click this suspicious link: www.fakepharmacy123.com
Don’t miss out!!! Buy cheap pills here!!!
*** WARNING: This is a scam email. Do NOT click links or provide personal info. ***","Buy Cheap Medicine Now!!! Hello,
Get FDA-approved medicine and save 85% today!!!
100% legal online pharmacy - No prescription needed!!!
Order now and receive your package very fast!!!
Click this suspicious link: www.fakepharmacy123.com
Don’t miss out!!! Buy cheap pills here!!!
*** WARNING: This is a scam email. Do NOT click links or provide personal info. ***",1,synthetic_edge@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:49:46,What time is okay for you,"B ie u wor y From On se line P ru har nr ma haa cy

Get FDA Me agv ds & Save up to 85%
100% Legal P dj har wo macy - Or bo der Today!

vi bcn sit our s yua ite"
