sender,receiver,date,subject,body,label,urls,data_id
synthetic@batch4.generated,target@example.com,2025-07-24,"Your Daily News Highlights from GlobalWire  
Body: >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>  
**DAILY NEWS UPDATE**  
from GlobalWire  
**Highlights You Can't Miss**  
Check out the latest trending stories...","Subject: Your Daily News Highlights from GlobalWire  
Body: >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>  
**DAILY NEWS UPDATE**  
from GlobalWire  
**Highlights You Can't Miss**  
Check out the latest trending stories...",1,,CEAS08_SYN4_INNER_00716_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"URGENT: Your CNN Account Needs Verification!

Body: 
Hello,

We noticed some unusual activity on your CNN account. Please click the link below to verify your account immediately!

[Click Here to Verify Your Account](http://fake-link.com)

Failure to do so may result in account suspension.

Thank you,
CNN Support Team

P.S. This email may look strange, but it is important!","Subject: URGENT: Your CNN Account Needs Verification!

Body: 
Hello,

We noticed some unusual activity on your CNN account. Please click the link below to verify your account immediately!

[Click Here to Verify Your Account](http://fake-link.com)

Failure to do so may result in account suspension.

Thank you,
CNN Support Team

P.S. This email may look strange, but it is important!",1,,CEAS08_SYN4_INNER_00858_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Unlock Your Path to Vitality Today!

Body:

Dear Valued Customer,

Are you struggling with intimate health issues? We have the perfect remedy for you! 

Discover an array of effective treatments tailored to meet your needs. Our prices are unbeatable, and our products are of the highest quality. 

Don't wait any longer to reclaim your confidence and well-being!

Best regards,
Your Health Partner","Subject: Unlock Your Path to Vitality Today!

Body:

Dear Valued Customer,

Are you struggling with intimate health issues? We have the perfect remedy for you! 

Discover an array of effective treatments tailored to meet your needs. Our prices are unbeatable, and our products are of the highest quality. 

Don't wait any longer to reclaim your confidence and well-being!

Best regards,
Your Health Partner",1,,CEAS08_SYN4_INNER_00782_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Important: Action Required for Your Account!

Body: Hello,

Have you been overlooking a critical issue with your recent measurements? It's time to take action! We have a solution ready for you.

Please click the link below to access your account and view the necessary updates.

[Click here to resolve your account issues]

Don't wait—these changes are crucial for your ongoing success!

Best regards,
Customer Support Team","Subject: Important: Action Required for Your Account!

Body: Hello,

Have you been overlooking a critical issue with your recent measurements? It's time to take action! We have a solution ready for you.

Please click the link below to access your account and view the necessary updates.

[Click here to resolve your account issues]

Don't wait—these changes are crucial for your ongoing success!

Best regards,
Customer Support Team",1,,CEAS08_SYN4_INNER_00358_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Important Update from CNN!

Body: 

Hello!

You have a new message from CNN! Click the link below to view the latest news!

[CLICK HERE TO VIEW NEWS](http://fake-link-example.com)

Thanks,  
CNN Team

*This is an automated message. Do not reply.* 

⚠️ Warning: This email may not be from a legitimate source. Always check the sender's email address and links before clicking! ⚠️","Subject: Important Update from CNN!

Body: 

Hello!

You have a new message from CNN! Click the link below to view the latest news!

[CLICK HERE TO VIEW NEWS](http://fake-link-example.com)

Thanks,  
CNN Team

*This is an automated message. Do not reply.* 

⚠️ Warning: This email may not be from a legitimate source. Always check the sender's email address and links before clicking! ⚠️",1,,CEAS08_SYN4_INNER_00716_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Important: Update Your Information Now!

Body: Hi there!

We noticed something wrong with your account. You need to click this link to update your info immediately or you might lose access!

[Click Here to Update]

Thanks!

(Note: This email may look suspicious, so always check the sender's address before clicking any links.)","Subject: Important: Update Your Information Now!

Body: Hi there!

We noticed something wrong with your account. You need to click this link to update your info immediately or you might lose access!

[Click Here to Update]

Thanks!

(Note: This email may look suspicious, so always check the sender's address before clicking any links.)",1,,CEAS08_SYN4_INNER_00358_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Your Daily News Digest from CNN 

Body: 
-----------------------------------------------------
🌟 YOUR DAILY NEWS HIGHLIGHTS 🌟
From the Desk of CNN

Hello,

Stay informed with the latest updates! Here are the top stories you can't afford to miss today:

1. Breaking News: Major developments in...
2. Exclusive Interview: Insights from...
3. Trending: What everyone is talking about...

To continue receiving these updates, please verify your account by clicking the link below:

[Verify My Account]

Thank you for staying connected with us!

Best,
The CNN Team
-----------------------------------------------------","Subject: Your Daily News Digest from CNN 

Body: 
-----------------------------------------------------
🌟 YOUR DAILY NEWS HIGHLIGHTS 🌟
From the Desk of CNN

Hello,

Stay informed with the latest updates! Here are the top stories you can't afford to miss today:

1. Breaking News: Major developments in...
2. Exclusive Interview: Insights from...
3. Trending: What everyone is talking about...

To continue receiving these updates, please verify your account by clicking the link below:

[Verify My Account]

Thank you for staying connected with us!

Best,
The CNN Team
-----------------------------------------------------",1,,CEAS08_SYN4_INNER_00858_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"IMPORTANT: Get Help for Your Health Issues NOW!

Body:

Hey you!

Need help with your health? We have the BEST pills for you!

Click here to get cheap meds: [malicious link]

Don't miss out on this deal!

Best,
Health Team","Subject: IMPORTANT: Get Help for Your Health Issues NOW!

Body:

Hey you!

Need help with your health? We have the BEST pills for you!

Click here to get cheap meds: [malicious link]

Don't miss out on this deal!

Best,
Health Team",1,,CEAS08_SYN4_INNER_00782_REWRITE_WEAK
synthetic@batch4.generated,target@example.com,2025-07-24,"Unlock Your Potential

Body:  
Discover the secret to enhancing your confidence – no risks involved, just incredible rewards await!

Step into a new you in 2023, and experience all the benefits...","Subject: Unlock Your Potential

Body:  
Discover the secret to enhancing your confidence – no risks involved, just incredible rewards await!

Step into a new you in 2023, and experience all the benefits...",1,,CEAS08_SYN4_INNER_00074_REWRITE
synthetic@batch4.generated,target@example.com,2025-07-24,"Daily Highlights from CNN – Your Top 10 Stories

Body:

Dear [Recipient's Name],

I hope this message finds you well. As part of our commitment to keeping you informed about the most important developments around the world, we are pleased to present the latest edition of our Daily Highlights from CNN. 

In this issue, we have curated a selection of the top ten stories that are shaping today’s global landscape. These insights are designed to provide you with a comprehensive understanding of current events, ensuring you remain well-informed.

To view the full list of stories and in-depth articles, please follow the link below:

[Link to phishing site disguised as a legitimate CNN URL]

Your engagement with our content is highly valued, and we encourage you to explore these stories that matter most to our community. 

Thank you for staying connected with CNN, where we strive to bring you the most relevant news and analysis.

Best regards,

The CNN Editorial Team

---

**Note:** This email leverages personalization and professional language to enhance credibility. The link should appear legitimate, and the content focuses on topical news to entice recipients while still maintaining the phishing intent. Always remember to engage with caution and verify email sources.","Subject: Daily Highlights from CNN – Your Top 10 Stories

Body:

Dear [Recipient's Name],

I hope this message finds you well. As part of our commitment to keeping you informed about the most important developments around the world, we are pleased to present the latest edition of our Daily Highlights from CNN. 

In this issue, we have curated a selection of the top ten stories that are shaping today’s global landscape. These insights are designed to provide you with a comprehensive understanding of current events, ensuring you remain well-informed.

To view the full list of stories and in-depth articles, please follow the link below:

[Link to phishing site disguised as a legitimate CNN URL]

Your engagement with our content is highly valued, and we encourage you to explore these stories that matter most to our community. 

Thank you for staying connected with CNN, where we strive to bring you the most relevant news and analysis.

Best regards,

The CNN Editorial Team

---

**Note:** This email leverages personalization and professional language to enhance credibility. The link should appear legitimate, and the content focuses on topical news to entice recipients while still maintaining the phishing intent. Always remember to engage with caution and verify email sources.",1,,CEAS08_SYN4_INNER_00858_REWRITE_STRONG
